id_correspondance,old_artisan_url,new_artisan_url,count_old,count_new,count_sum,,new actif
15031,sanitaire_plomberie_chauffage_electricite_gault_pere_et_fils_-_s.p.c.e_gault_pere_et_fils,sanitaire_plomberie_chauffage_electricite_gault_pere_et_fils_s_p_c_e_gault_pere_et_fils,1,,1,,1
15032,s._paquereau_et_cie,s_paquereau_et_cie,6,,6,,1
15033,ets_berthomme_-_point_fort_fichet,ets_berthomme_point_fort_fichet,268,2,270,,1
15034,g_et_herbreteau,g_herbreteau,11,,11,,1
15035,ener.j.b,ener_j_b,2,,2,,1
15036,cpe_gitton-thepin,cpe_gitton_thepin,4,,4,,1
15037,sasep_-_morin,sasep_morin,3,,3,,1
15038,bouet-duris_entreprise,bouet_duris_entreprise,8,,8,,1
15039,plomberie-service_18,plomberie_service_18,,,0,,1
15040,ruffet-chastanet,ruffet_chastanet,18,,18,,1
15041,a.m.s.a.v,a_m_s_a_v,5,,5,,1
15042,tdp-thibauld_defossez_plomberie,tdp_thibauld_defossez_plomberie,6,,6,,1
15043,vackier-delbos,vackier_delbos,11,1,12,,1
15044,vergne_j._et_fils,vergne_j_et_fils,8,,8,,1
15045,techni_chauffe_-_tc_falcetta,techni_chauffe_tc_falcetta,11,,11,,1
15046,a.d.p.s._21,a_d_p_s_21,44,,44,,1
15047,a.p.r._bourgogne_s.a.r.l,a_p_r_bourgogne_s_a_r_l,31,,31,,1
15048,allo_assistance_inter_depannages_-_sos_gaz,allo_assistance_inter_depannages_sos_gaz,2,,2,,1
15049,bernard-blois,bernard_blois,1,,1,,1
15050,b._fiore_-_plombier_chauffagiste,b_fiore_plombier_chauffagiste,5,,5,,1
15051,stce-plomberie-chauffage,stce_plomberie_chauffage,1,,1,,1
15052,jmpc_j.m_plomberie_chauffage,jmpc_j_m_plomberie_chauffage,9,,9,,1
15053,v.i.c._plomberie_eurl,v_i_c_plomberie_eurl,,,0,,1
15054,garanka_sud_est_-_technigaz_dijon,garanka_sud_est_technigaz_dijon,21,,21,,1
15055,b.t.c.i._bourg._tech._clima._ingenierie,b_t_c_i_bourg_tech_clima_ingenierie,5,,5,,1
15056,tortochot_p._et_f._sarl,tortochot_p_f_sarl,2,,2,,1
15057,b2c_plombier-chauffages,b2c_plombier_chauffages,6,,6,,1
15058,gauthier_p._et_f._sarl,gauthier_p_f_sarl,,,0,,1
15059,ai-p2c,ai_p2c,17,,17,,1
15060,guillemotte_jean-paul,guillemotte_jean_paul,4,,4,,1
15061,berger_et_cie,berger_cie,8,,8,,1
